谈,tan2,he’s on fire!  That will generate lots of _,discussion
邻居,lin2ju1,listening to couple having sex; corpse hung up because of suicide,neighbours
意大利,yi4di4li4,no hint, italy
叔叔,shu1shu1,effeminate man with hand vacuum,dad’s didi
婶婶,shen3shen,metrosexual man gives wife lots of jewelry,dad’s didi’s wife
姑姑,gu1gu,_ _ also quite fashionable,father’s sister
姑夫,gu1fu,but her husband is less supportive,father’s sister’s husband
舅舅,jiu4jiu,mom ~ jie like jiu + nan,mother’s brother
舅母,jiu4mu3,look at jiu,mother’s brother’s wife
水务署,shui3wu4shu3,man running under the water: go! + robot with a stripe,water supplies department
路,lu4,foot going on rock,road
年轻,nian2qing1,nian2=screwing down the man + qing=double tongue pressing down on work,young
瓶,ping2,two hands and ears to grab the jug sarcastically + a brick to smash the comatose man,collective for wine
*********************
礼拜,li3bai4,a one legged spirit sucks along the railway track one _ _ _ _ at a time,day of the week
星期,xing1qi1,waking up ready to shot; its a sweet time of the month.  I wonder what _ _ _ _ it is.,day of the week
今天,jin1tian1,look at the radicals!,today
周末,zhou1mo4,on the _ we go to visit the graveyard next to the tree,weekend
工作日,gong1zuo4ri4,work: Fuck you looking at me boss!,weekday
下午,xia4wu3,when do the cows come home?,afternoon
晚上,wan3shang1,eyes peering at the open bonnet with oil squirting out,evening/night
年,nian2,screwing it in over the _,years
季节,ji4jie2,the fragrant child is dancing,because a new season is here!
春天,chun1tian1,the potplant is overgrowing the pot at this time of year,spring
夏天,xia4tian1,the leaf is growing more slowly now,summer
秋天,qiu1tian1,the wheat can potentially catch on fire now,autumn
冬天,dong1tian1,the sound is coming up to the roof fast now because we’re clubbing!,winter
游泳,you2yong3,water on a seal sheltering child from a water cliff,swimming
